Time (s),Available Memory (MB)
3.7271206,1890402304
3.8312425,1890459648
3.9354798,1891446784
4.0410997,1892274176
4.156058,1885401088
4.2613523,1900761088
4.3663815,1898401792
4.4710121,1898401792
4.5752785,1898278912
4.6799815,1895911424
4.784304,1870180352
4.8886202,1868230656
4.9936346,1872728064
0.0532039,1874075648
0.157298,1870942208
0.2614574,1870921728
0.36641070000000003,1870790656
0.4705371,1870295040
0.5748309,1870266368
0.6795726,1870282752
0.7835934,1875152896
0.8883673,1873993728
0.9937865,1873408000
1.0978585,1844924416
1.2059653,1821229056
1.3108785,1796808704
1.4151928,1802289152
1.5195813,1804275712
1.6245834,1804337152
1.729114,1803464704
1.8335128,1803464704
1.9380398,1804591104
2.0428773,1805242368
2.1470222,1807036416
2.2509839,1807036416
2.3552574,1807876096
2.4591767,1807876096
2.5635478,1807876096
2.6698625,1807986688
2.7739888,1797619712
2.8782899,1798897664
2.9823486,1799344128
3.086091,1804812288
3.1910167,1804812288
3.2952295,1804894208
3.3998638,1804894208
3.5038868,1805078528
3.6086481,1805217792
3.7130334,1805152256
3.8182922,1805914112
3.9222367,1808023552
4.0266437,1797435392
4.1320212,1779355648
4.2370455,1793466368
4.3411274,1801342976
4.4450618,1801273344
4.5510463,1795051520
4.6552359,1799991296
4.7598826,1803071488
4.8641542,1803022336
4.9681948,1802883072
0.052445700000000005,1808633856
0.1565892,1808633856
0.2610627,1808633856
0.3655947,1808609280
0.4707289,1808543744
0.5750403,1792176128
0.6794447,1792204800
0.7836200999999999,1792204800
0.8877010000000001,1792204800
0.9917033000000001,1792315392
1.0962283,1792315392
1.2004845,1792446464
1.3048027,1792606208
1.4090389,1792602112
1.5130849,1792651264
1.617357,1792651264
1.721799,1792651264
1.8298019,1796595712
1.9343076,1795985408
2.038521,1796509696
2.1425302,1797861376
2.2467198,1798508544
2.3512887,1798705152
2.4555038,1798803456
2.5604468,1799110656
2.6643082,1799151616
2.7725533,1778364416
2.8774247,1791610880
2.9820458,1796915200
3.0860513,1796362240
3.1901539,1796362240
3.2940789,1796378624
3.3985512,1798017024
3.5029554,1797947392
3.6073797,1797939200
3.7121712,1797976064
3.8169437,1797656576
3.9213479,1798348800
4.0251995,1798012928
4.1295983,1798090752
4.2345276,1795682304
4.3386074,1792753664
4.4434045,1792143360
4.5477213,1790943232
4.6517323,1791844352
4.7561299,1791774720
4.860018,1782358016
4.9644187,1792405504
